freOcurr_Id,freOcurr_Group,law_Code,spot_Code,freOcurr_Name,ocurr_Count,injury_Count,dead_Count,sland_Count,sInjury_Count,longitude,latitude,risk
6194864,2016047,1138010800,11380002,서울특별시 은평구 역촌동(역촌역 부근),9,13,0,3,8,126.922729,37.60595886,
6194868,2016047,1138011000,11380003,서울특별시 은평구 증산동(밀양빌딩 부근),6,7,0,3,3,126.9090317,37.58328568,
6195195,2016047,1150010300,11500010,서울특별시 강서구 화곡동(동진빌딩 부근),4,4,0,2,2,126.8387335,37.53739,
6195504,2016047,1150010600,11500011,서울특별시 강서구 내발산동(로얄파크빌 부근),4,4,0,1,3,126.8313797,37.55083512,
6195839,2016047,1156011000,11560020,서울특별시 영등포구 여의도동(서울교_일반국도46호선_진출_2 부근),4,6,0,2,4,126.9174167,37.52120388,
6176141,2016047,1156013300,11560021,서울특별시 영등포구 대림동(구로1교(남단) 부근),4,4,0,1,2,126.8975275,37.48711273,
6194224,2016047,1130510200,11305002,서울특별시 강북구 번동(번동사거리_한천로_진출_2 부근),7,8,1,3,3,127.0329664,37.63605251,
6194228,2016047,1130510200,11305003,서울특별시 강북구 번동(금보빌딩 부근),7,7,0,4,3,127.0263782,37.6347861,
6194870,2016047,1138010900,11380004,서울특별시 은평구 신사동(송지빌딩 부근),6,6,0,1,4,126.9147791,37.59223392,
6176053,2016047,1138010800,11380005,서울특별시 은평구 역촌동(역말사거리 부근),6,8,0,0,6,126.9155703,37.60585673,
6177166,2016047,1150010300,11500012,서울특별시 강서구 화곡동(동면빌딩 부근),4,4,0,1,3,126.8513942,37.53089943,
6176104,2016047,1150010800,11500013,서울특별시 강서구 공항동(올림픽대로-정곡길램프(3) 부근),4,5,0,1,1,126.8157866,37.5867619,
6196146,2016047,1156013200,11560022,서울특별시 영등포구 신길동(사러가시장앞 부근),4,4,0,0,1,126.911093,37.50699045,
6199096,2016047,1156013200,11560023,서울특별시 영등포구 신길동(신길역 부근),3,3,1,0,1,126.9167556,37.51735667,
6194225,2016047,1130510200,11305004,서울특별시 강북구 번동(김홍석치과 부근),6,6,0,2,3,127.0285865,37.64087149,
6194230,2016047,1130510300,11305005,서울특별시 강북구 수유동(우이초등교앞 부근),6,7,0,1,6,127.0180338,37.64092248,
6194869,2016047,1138010600,11380006,서울특별시 은평구 대조동(구산역 부근),6,6,0,0,4,126.9170031,37.61069194,
6176187,2016047,1138010900,11380007,서울특별시 은평구 신사동(신사오거리 부근),5,6,0,3,2,126.9156962,37.59844835,
6195512,2016047,1153010200,11530001,서울특별시 구로구 구로동(시흥IC_시흥대로_진입_1 부근),8,8,0,2,5,126.900101,37.48126722,
6195508,2016047,1153010100,11530002,서울특별시 구로구 신도림동(서부간선도로-도림천로램프(4) 부근),6,6,0,4,1,126.8818101,37.51544957,
6196148,2016047,1159010200,11590001,서울특별시 동작구 상도동(중앙대입구교차로 부근),8,10,0,6,2,126.965433,37.50965084,
6196147,2016047,1159010400,11590002,서울특별시 동작구 본동(한강대교남단사거리 부근),8,8,0,4,1,126.9552468,37.51396035,
6194232,2016047,1130510100,11305006,서울특별시 강북구 미아동(미아4동지구대 부근),5,5,0,2,3,127.0300351,37.61645451,
6194229,2016047,1130510300,11305007,서울특별시 강북구 수유동(원일빌딩 부근),5,5,0,2,3,127.0192044,37.63435973,
6176143,2016047,1138010400,11380008,서울특별시 은평구 갈현동(흥진빌딩 부근),5,6,0,1,5,126.916473,37.62083241,
6194867,2016047,1138010800,11380009,서울특별시 은평구 역촌동(윤엘리트학원 부근),4,4,0,1,3,126.9158614,37.60216785,
6195511,2016047,1153010700,11530003,서울특별시 구로구 개봉동(개봉사거리 부근),6,6,0,2,3,126.8565246,37.49730686,
6195515,2016047,1153010200,11530004,서울특별시 구로구 구로동(두산아파트 부근),6,9,0,1,8,126.8900994,37.48885542,
6196150,2016047,1159010700,11590003,서울특별시 동작구 사당동(삼원빌딩 부근),7,8,0,2,4,126.9825131,37.48968651,
6195825,2016047,1159010900,11590004,서울특별시 동작구 신대방동(보라매공원입구_대방로_진입 부근),6,6,0,2,3,126.9158035,37.49706451,
6200312,2016047,1130510100,11305008,서울특별시 강북구 미아동(미아삼거리역 부근),5,5,0,0,4,127.0300919,37.61276988,
6194233,2016047,1130510100,11305009,서울특별시 강북구 미아동(삼양주유소앞 부근),4,5,0,0,5,127.026116,37.62628036,
6194871,2016047,1141011900,11410001,서울특별시 서대문구 북가좌동(명지대체육관 부근),6,6,0,2,2,126.9257724,37.58082193,
6194872,2016047,1144012300,11440001,서울특별시 마포구 망원동(망원우체국 부근),9,10,0,7,2,126.9071278,37.55900371,
6195509,2016047,1153010200,11530005,서울특별시 구로구 구로동(거리공원_거리공원길_진출_2 부근),5,5,1,1,2,126.89008,37.50115646,
6176114,2016047,1153010200,11530006,서울특별시 구로구 구로동(구로구청앞 부근),5,6,0,2,3,126.8886716,37.49532365,
6196149,2016047,1159010600,11590005,서울특별시 동작구 동작동(올림픽대로-동작대로램프(7) 부근),6,7,0,2,2,126.9778478,37.50414942,
6196155,2016047,1159010900,11590006,서울특별시 동작구 신대방동(성실교회 부근),5,6,0,1,4,126.9102321,37.48738157,
6194544,2016047,1132010700,11320001,서울특별시 도봉구 창동(노원구-도봉구경계(4) 부근),9,10,0,3,4,127.0542513,37.65312409,
6194235,2016047,1132010500,11320002,서울특별시 도봉구 쌍문동(방학프라자 부근),6,7,0,3,2,127.0374572,37.66597314,
6176672,2016047,1144012100,11440002,서울특별시 마포구 동교동(홍대입구역 부근),8,8,0,2,4,126.9212656,37.55508514,
6194878,2016047,1144012200,11440003,서울특별시 마포구 합정동(당인리발전소 부근),6,6,0,1,2,126.9183843,37.54798936,
6200314,2016047,1153010200,11530007,서울특별시 구로구 구로동(구로보건소입구삼거리 부근),5,6,0,0,4,126.8864543,37.49894812,
6195514,2016047,1153010100,11530008,서울특별시 구로구 신도림동(신도림7차 이편한세상 부근),4,4,0,1,2,126.8810341,37.50864888,
6196151,2016047,1159010700,11590007,서울특별시 동작구 사당동(이수역_사당로_진출_2 부근),5,5,0,1,4,126.9804503,37.48479234,
6176812,2016047,1159010900,11590008,서울특별시 동작구 신대방동(우성차밍빌 부근),5,6,0,0,3,126.9246057,37.49170042,
6194238,2016047,1132010600,11320003,서울특별시 도봉구 방학동(도봉소방서 부근),6,6,0,3,1,127.0426252,37.66451628,
6194239,2016047,1132010700,11320004,서울특별시 도봉구 창동(남대문약국 부근),6,6,0,1,4,127.0373025,37.63800115,
6194874,2016047,1144012100,11440004,서울특별시 마포구 동교동(대성카센터 부근),6,6,0,0,3,126.9253893,37.55796369,
6194877,2016047,1144012500,11440005,서울특별시 마포구 성산동(마포농수산물시장_난지도길_진입 부근),5,5,0,1,2,126.8992737,37.56594331,
6176657,2016047,1154510200,11545001,서울특별시 금천구 독산동(혜전빌딩 부근),5,5,0,2,2,126.8986371,37.4770953,
6195517,2016047,1156011000,11560001,서울특별시 영등포구 여의도동(서울방송(SBS) 부근),13,15,0,4,10,126.9267233,37.53075604,
6193907,2016047,1126010300,11260004,서울특별시 중랑구 중화동(중화역 부근),6,6,0,2,1,127.0797805,37.60182527,
